Mese;Data;F1;F2;F3
Gennnaio;31/01/20;87;91;109
Febbraio;28/02/20;82;95;83
Marzo;31/03/20;121;99;112
Aprile;30/04/20;110;81;110
Maggio;31/05/20;95;79;108
Giugno;30/06/20;88;61;77
Luglio;31/07/20;126;87;103
Agosto;31/08/20;65;49;81
Settembre;30/09/20;97;63;74
Ottobre;31/10/20;94;86;69
Novembre;30/11/20;101;91;77
Dicembre;31/12/20;109;92;131
