Mese;Data;F1;F2;F3
Gennnaio;31/01/21;114;108;183
Febbraio;28/02/21;69;56;63
Marzo;31/03/21;106;82;79
Aprile;30/04/21;91;69;100
Maggio;31/05/21;106;61;83
Giugno;30/06/21;99;57;80
Luglio;31/07/21;141;91;113
Agosto;31/08/21;132;77;109
Settembre;30/09/21;102;75;88
Ottobre;31/10/21;95;85;70
Novembre;30/11/21;90;86;101
Dicembre;31/12/21;139;117;189
