Mese;Data;F1;F2;F3
Gennnaio;31/01/22;59;35;71
Febbraio;28/02/22;20;131;111
Marzo;31/03/22;20;39;90
Aprile;30/04/22;16;64;184
Maggio;31/05/22;87;146;311
Giugno;30/06/22;170;326;524
Luglio;31/07/22;394;710;982
Agosto;31/08/22;860;1032;1302
Settembre;30/09/22;280;403;500
Ottobre;31/10/22;161;219;242
Novembre;30/11/22;114;99;159
Dicembre;31/12/22;37;53;90
