Mese;Data;F1;F2;F3;;;
Gennnaio;31/01/22;4757;2822;1771;;;
Febbraio;28/02/22;4519;3042;1653;;;
Marzo;31/03/22;3680;3110;1645;;;
Aprile;30/04/22;2674;2695;1437;;;
Maggio;31/05/22;3305;2875;1623;;;
Giugno;30/06/22;3692;3121;2000;;;
Luglio;31/07/22;3648;3649;2589;;;
Agosto;31/08/22;3900;3450;2639;;;
Settembre;30/09/22;3344;3456;2381;;;
Ottobre;31/10/22;2611;2995;1606;;;
Novembre;30/11/22;3055;2351;1279;;;
Dicembre;31/12/22;3256;2525;1408;;;
